rank,result
1088,02:56:19
1089,02:56:20
1090,02:56:20
1091,02:56:23
1092,02:56:23
1093,02:56:23
1094,02:56:23
1095,02:56:24
1096,02:56:24
1097,02:56:24
1098,02:56:25
1099,02:56:26
1100,02:56:27
1101,02:56:27
1102,02:56:28
1103,02:56:29
1104,02:56:29
1105,02:56:30
1106,02:56:30
1107,02:56:30
1108,02:56:30
1109,02:56:31
1110,02:56:32
1111,02:56:33
1112,02:56:34
1113,02:56:34
1114,02:56:34
1115,02:56:35
1116,02:56:35
1117,02:56:36
1118,02:56:37
1119,02:56:37
1120,02:56:38
1121,02:56:38
1122,02:56:39
1123,02:56:39
1124,02:56:40
1125,02:56:41
1126,02:56:42
1127,02:56:43
1128,02:56:43
1129,02:56:44
1130,02:56:45
1131,02:56:45
1132,02:56:46
1133,02:56:46
1134,02:56:46
1135,02:56:46
1136,02:56:46
1137,02:56:48
1138,02:56:48
1139,02:56:48
1140,02:56:48
1141,02:56:48
1142,02:56:49
1143,02:56:49
1144,02:56:51
1145,02:56:51
1146,02:56:51
1147,02:56:52
1148,02:56:54
1149,02:56:55
1150,02:56:56
1151,02:56:56
1152,02:56:56
1153,02:56:56
1154,02:56:57
1155,02:56:58
1156,02:56:58
1157,02:56:59
1158,02:56:59
1159,02:57:00
1160,02:57:00
1161,02:57:01
1162,02:57:01
1163,02:57:01
1164,02:57:02
1165,02:57:03
1166,02:57:03
1167,02:57:03
1168,02:57:05
1169,02:57:05
1170,02:57:05
1171,02:57:06
1172,02:57:06
1173,02:57:06
1174,02:57:06
1175,02:57:06
1176,02:57:07
1177,02:57:07
1178,02:57:07
1179,02:57:08
1180,02:57:09
1181,02:57:10
1182,02:57:10
1183,02:57:11
1184,02:57:12
1185,02:57:13
1186,02:57:13
1187,02:57:13
1188,02:57:14
1189,02:57:14
1190,02:57:14
1191,02:57:14
1192,02:57:14
1193,02:57:15
1194,02:57:15
1195,02:57:15
1196,02:57:15
1197,02:57:16
1198,02:57:16
1199,02:57:18
1200,02:57:18
1201,02:57:18
1202,02:57:19
1203,02:57:19
1204,02:57:20
1205,02:57:22
1206,02:57:22
1207,02:57:22
1208,02:57:23
1209,02:57:23
1210,02:57:24
1211,02:57:24
1212,02:57:24
1213,02:57:25
1214,02:57:26
1215,02:57:26
1216,02:57:26
1217,02:57:26
1218,02:57:26
1219,02:57:27
1220,02:57:27
1221,02:57:27
1222,02:57:28
1223,02:57:28
1224,02:57:29
1225,02:57:29
1226,02:57:30
1227,02:57:30
1228,02:57:30
1229,02:57:31
1230,02:57:32
1231,02:57:33
1232,02:57:33
1233,02:57:33
1234,02:57:35
1235,02:57:35
1236,02:57:36
1237,02:57:37
1238,02:57:37
1239,02:57:38
1240,02:57:38
1241,02:57:38
1242,02:57:39
1243,02:57:39
1244,02:57:39
1245,02:57:40
1246,02:57:40
1247,02:57:40
1248,02:57:41
1249,02:57:42
1250,02:57:42
1251,02:57:43
1252,02:57:43
1253,02:57:44
1254,02:57:44
1255,02:57:45
1256,02:57:45
1257,02:57:46
1258,02:57:46
1259,02:57:47
1260,02:57:47
1261,02:57:48
1262,02:57:48
1263,02:57:48
1264,02:57:48
1265,02:57:48
1266,02:57:48
1267,02:57:49
1268,02:57:49
1269,02:57:49
1270,02:57:50
1271,02:57:50
1272,02:57:50
1273,02:57:51
1274,02:57:51
1275,02:57:51
1276,02:57:51
1277,02:57:52
1278,02:57:52
1279,02:57:52
